V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
8.824959012,9.938354785,5.643348326,5.676740551,2.960914069,3.811570202,4.727055507,6.282475909,3.403362117,7.383296978,5.271997496,1.869483283,9.949513777,7.302493932,7.557461419,2.196815664,5.190679637,3.097553872,1.649621576,8.483682599
3.308581502,2.014816441,4.458817163,6.255770028,2.146539632,3.507091833,5.051610679,21.73293007,3.348333539,17.99252664,3.183209974,3.468178397,10.48223082,5.570349051,12.58434039,7.335701772,4.528354681,7.82045456,9.918570278,8.199497967
8.249784459,8.142623524,4.250187802,5.828780632,1.039633211,10.80480554,6.092287875,15.174464,4.84466023,3.333504251,0.763081927,13.43394823,5.161182259,8.694194664,2.863040147,5.533360198,1.594658166,10.71039885,2.396175889,4.316919733
5.825149473,2.098843671,14.43511033,4.943140175,7.94071009,0.738919065,4.152788911,8.557305932,12.1081992,1.619899699,7.192950244,5.973122009,12.58654764,3.985948995,5.643198362,7.529829457,6.512584615,15.4038896,5.660868204,14.43379588
5.03390164,3.334049439,6.628243632,8.204939935,6.502273672,1.880074996,11.32791212,11.54904162,4.747878752,2.951137812,6.563740705,7.038676327,20.8327428,1.657109111,3.308769475,1.574756958,11.46550362,1.406680239,9.015460119,5.172016389
2.54612159,9.076182086,4.359128997,4.137024471,3.984793572,7.5128754,4.644550891,4.528668554,19.86645046,3.880279283,0.187849726,3.443595098,2.772631066,8.667809544,9.951295444,6.792149919,2.19817625,4.785821697,1.578187197,13.65296398
3.792720136,8.119269222,4.111184285,9.014012642,3.181392088,6.100198137,2.595683659,6.21701715,3.065171911,8.649091459,4.658690345,8.020269814,4.445197458,4.482459884,4.049795431,6.382091736,3.68493019,6.231837132,2.063084163,8.255764563
4.615223027,9.008882972,5.429450782,15.38584033,6.644184694,10.3903756,7.08827938,6.133148358,11.72764514,4.876734792,10.99363568,7.227926215,12.87074938,2.530383193,15.8381063,3.629571073,8.607822231,5.976904166,6.130555941,7.486481252
22.35881951,2.839689864,4.936623881,11.84462097,9.565416834,5.830249656,4.383167273,7.640990453,3.56512456,4.744946778,7.256177843,6.460380321,3.614367749,3.996118825,8.86494581,4.349627369,6.950713074,6.287017332,5.850439565,3.25407922
10.35715363,3.804035022,1.709398477,10.52712106,36.80293104,4.725440712,15.83992297,6.256247307,7.328601863,10.77219566,2.346945943,11.69447187,30.71833872,4.594660376,3.741741716,3.4483367,9.115308729,6.893626596,2.559002107,4.596286964
4.625938912,3.004463282,4.916710397,4.626420482,7.228885559,2.153486773,2.988450121,3.564751662,9.198728499,3.593698971,1.824580329,3.29123831,5.696955393,3.394144293,15.88780414,5.058587006,7.035711619,2.958397348,7.997965211,4.873150069
2.578800861,2.34070402,1.655122979,6.429299306,4.229058826,11.56324774,2.815179061,1.494646148,2.276294878,4.295842941,2.282220745,5.490088846,2.656824529,7.155189644,6.105743792,0.713065603,4.907503696,0.817501771,2.905981598,4.655283277
5.383990794,3.795857853,6.211121076,4.414202729,5.244345675,4.068239816,3.938857448,1.412964404,5.490512774,5.488229531,3.237449482,5.16536518,7.145081818,8.691525898,3.240207884,1.891339045,10.65888857,3.585124506,4.120981498,6.52918325
2.774814116,7.311097561,3.416168908,3.561173656,3.609076267,5.985629274,1.151295699,7.153613137,2.936384224,14.31193858,0.540398455,7.300819193,2.700558709,5.201323148,4.798941234,13.68457951,1.624972824,5.047023818,8.212252255,4.958776853
5.417466895,4.339898715,9.299910004,1.973699745,2.381960123,2.214237855,4.127610264,3.803761251,4.001193886,3.15985823,1.600737915,12.15798706,2.789180068,6.882820844,3.366786224,4.080567117,3.397223382,1.962841869,8.06879572,6.49301893
3.717784584,6.117201111,2.628884534,4.854302607,10.86296115,4.45608643,5.888105954,9.932594454,5.674335657,1.471837686,2.63336889,5.12602523,8.017256554,2.901059991,5.057444992,0.741572026,2.439418344,2.3915356,5.070912238,11.20180405
12.79434675,6.492281783,5.245432925,6.284564927,9.010646418,7.693778933,26.38201081,3.267956354,5.405043812,1.400744696,14.47472584,8.883650137,9.428289745,3.212968261,6.445098877,3.789351495,13.64673585,10.9205474,11.10298207,3.020432692
3.991174163,10.32960278,7.161276133,4.135433799,8.283074512,4.839972988,6.393622,6.248888659,2.540664586,5.056595425,4.556123731,6.638423573,2.776677111,4.507598028,2.504147355,17.67372963,4.392770385,4.759067743,16.12760216,4.500262739
5.369751733,3.756132731,2.98967642,2.90409355,16.37226479,1.919407359,5.721982579,9.988695224,4.393354254,6.088104974,11.72246857,3.396245209,10.41566385,3.100977685,7.382526676,2.23550805,5.291992966,4.032385751,16.82204573,3.007458037
3.561256832,2.044537026,4.929333462,1.576507599,5.021432613,3.630689781,2.908620011,6.51135951,12.00354428,8.541496755,2.472877404,2.134842112,1.41382221,7.19179071,2.649510557,11.33026096,7.133181692,4.846804406,24.741708,1.192963852
4.130204449,7.637425361,1.449754461,7.665331683,2.652588371,2.165032235,5.126504029,1.765306557,1.865147146,3.964231038,6.612980398,7.99492345,10.79057021,6.942945396,1.627542223,14.40959964,4.438220034,4.797953829,12.03934486,5.6217099
3.109088208,7.154842909,5.384654228,2.208454608,1.647878601,1.620736253,2.249780172,4.137134539,1.664469208,8.610358991,3.157741911,10.76387621,3.631100327,9.957434152,4.191170639,4.686228351,2.10641075,14.48619562,1.286553821,5.786305362
